Обновлено:;;;;;;;;;;;;44579,00
Перевозки пассажиров по видам транспорта;;;;;;;;;;;;
(миллионов человек);;;;;;;;;;;;
;2021,00;;;;;;;;;;;
;январь;январь-февраль;январь - март;январь-апрель;январь-май;январь - июнь;январь-июль;январь-август;январь-сентябрь;январь-октябрь;январь - ноябрь;январь - декабрь
Все виды транспорта;;;;;;;;;;;;
ЕАЭС;1191,06;2444,41;3922,98;5486,78;7005,73;8546,24;10039,05;11642,11;13439,24;15289,30;17133,71;0,00
в том числе:;;;;;;;;;;;;
Армения;5,93;13,55;22,44;31,42;40,72;50,37;59,06;67,92;77,66;87,48;96,99;
Беларусь;123,76;252,16;389,58;522,42;653,95;780,92;896,57;1018,49;1153,12;1285,25;1418,02;
Казахстан 1);383,40;796,80;1260,17;1803,19;2360,01;2938,81;3499,02;4152,08;4918,24;5756,13;6647,26;
Кыргызстан;43,09;83,24;129,58;166,88;184,82;216,57;260,99;303,58;358,28;412,18;466,80;
Россия;634,88;1298,66;2121,20;2962,88;3766,22;4559,57;5323,42;6100,03;6931,95;7748,27;8504,63;
железнодорожный;;;;;;;;;;;;
ЕАЭС;68,83;146,80;238,42;334,17;434,00;542,85;648,44;751,95;851,97;946,29;1038,75;0,00
в том числе:;;;;;;;;;;;;
Армения;0,02;0,05;0,08;0,11;0,14;0,18;0,23;0,28;0,32;0,37;0,40;
Беларусь;3,89;7,66;12,27;17,57;23,44;29,64;36,14;42,24;47,54;52,55;56,95;
Казахстан;1,06;1,97;3,13;4,08;5,12;6,59;8,24;9,89;11,06;12,26;13,74;
Кыргызстан;0,02;0,03;0,05;0,08;0,10;0,12;0,14;0,17;0,19;0,21;0,23;
Россия;63,84;137,09;222,88;312,34;405,20;506,32;603,69;699,37;792,86;880,90;967,42;
автомобильный 2);;;;;;;;;;;;
ЕАЭС;1065,15;2182,41;3502,11;4904,34;6258,51;7622,01;8942,27;10373,10;11995,61;13679,18;15361,59;0,00
в том числе:;;;;;;;;;;;;
Армения;4,73;10,66;17,48;24,51;31,68;39,12;45,69;52,34;59,51;66,92;74,14;
Беларусь;76,99;156,47;240,67;321,60;401,52;478,78;548,18;621,06;702,45;782,44;862,56;
Казахстан 1);377,23;784,40;1241,15;1777,67;2327,63;2898,52;3451,03;4096,48;4854,37;5683,62;6565,75;
Кыргызстан;40,93;80,37;122,25;155,67;172,17;201,21;241,62;283,42;335,25;385,78;437,72;
Россия;565,27;1150,51;1880,56;2624,89;3325,51;4004,37;4655,76;5319,80;6044,03;6760,41;7421,41;
воздушный;;;;;;;;;;;;
ЕАЭС;6,22;12,13;19,56;27764,93;37,73;49,98;64,27;80,36;94,21;106,56;116,15;0,00
в том числе:;;;;;;;;;;;;
Армения 3);0,06;0,15;0,27;405,10;0,57;0,77;1,07;1,42;1,71;1,97;2,18;
Беларусь;0,09;0,18;0,32;479,80;0,67;0,85;1,06;1,30;1,51;1,70;1,82;
Казахстан;0,59;1,15;1,88;2547,93;3,31;4,20;5,14;6,05;6,88;7,76;8,59;
Кыргызстан;0,03;0,07;0,13;179,00;0,22;0,28;0,37;0,45;0,57;0,69;0,81;
Россия 4);5,51;10,57;16,97;24153,10;32,96;43,87;56,62;71,14;83,53;94,44;102,75;
;;;;;;;;;;;;
1) С учетом оценки объемов перевозок индивидуальными предпринимателями, занимающимися коммерческими перевозками.;;;;;;;;;;;;
2) По Армении, Казахстану и Кыргызстану перевозки пассажиров автобусным и таксомоторным транспортом, по Беларуси и России – автобусным транспортом.;;;;;;;;;;;;
3) В данных отражены также пассажироперевозки, выполненные самолетами других стран.;;;;;;;;;;;;
4) По данным Росавиации.;;;;;;;;;;;;
